Modality,Gender,Race_ETH,Tobacco_Ever,Afib,PVD,Statins,anyPhysicalActivity,Age,HDL,H1A1c,TotCholesterol,LDL,Triglycerides,Creatinine,SBP,DBP,BMI,N_AntiHTNperYR
CT,F,Asian and Pacific Islander,0,0,0,0,0,161.86648367807064,46.16733653563374,-8.285422998,-91.78580531,-84.27056171,-520.1605725,3.0799529457896284,14.074377119890222,-62.68626684,-37.48922164,4.680546226330214
CT,F,Asian and Pacific Islander,0,0,0,0,0,46.16733653563374,163.33986864032937,0.7985295559258886,124.78325654347614,42.89285364179982,-648.7810019,0.8616998333496716,5.7475881776296465,-25.80048182,11.770223507499264,1.4340455475087723
CT,F,Asian and Pacific Islander,0,0,0,0,0,-8.285422998,0.7985295559258886,6.002756592490934,34.60446034702479,27.439701990000977,74.86508185472015,-0.632030977,5.039889442211552,8.788428457994318,-3.568594844,-0.941613863
CT,F,Asian and Pacific Islander,0,0,0,0,0,-91.78580531,124.78325654347614,34.60446034702479,2268.670326438585,1497.1887069895108,4134.307322811491,-13.46794824,8.537720811685118,91.74047965885701,47.07908440348982,-13.47576211
CT,F,Asian and Pacific Islander,0,0,0,0,0,-84.27056171,42.89285364179982,27.439701990000977,1497.1887069895108,1575.0216645426917,-449.7347319,-11.96252916,82.33197068914811,95.93493971179298,50.30881678266837,-16.88190441
CT,F,Asian and Pacific Islander,0,0,0,0,0,-520.1605725,-648.7810019,74.86508185472015,4134.307322811491,-449.7347319,39070.90951867465,-25.32752769,-272.2060327,256.1306924811294,-118.6861023,-10.84610346
CT,F,Asian and Pacific Islander,0,0,0,0,0,3.0799529457896284,0.8616998333496716,-0.632030977,-13.46794824,-11.96252916,-25.32752769,1.9529398098225663,-3.044272956,-3.388677781,-2.484486697,0.3764609325166888
CT,F,Asian and Pacific Islander,0,0,0,0,0,14.074377119890222,5.7475881776296465,5.039889442211552,8.537720811685118,82.33197068914811,-272.2060327,-3.044272956,328.09830028252145,128.18627052769332,-30.84581711,0.791562024
CT,F,Asian and Pacific Islander,0,0,0,0,0,-62.68626684,-25.80048182,8.788428457994318,91.74047965885701,95.93493971179298,256.1306924811294,-3.388677781,128.18627052769332,133.1091923250662,1.8988435516125926,-5.354343104
CT,F,Asian and Pacific Islander,0,0,0,0,0,-37.48922164,11.770223507499264,-3.568594844,47.07908440348982,50.30881678266837,-118.6861023,-2.484486697,-30.84581711,1.8988435516125926,46.90117619841195,-1.588962288
CT,F,Asian and Pacific Islander,0,0,0,0,0,4.680546226330214,1.4340455475087723,-0.941613863,-13.47576211,-16.88190441,-10.84610346,0.3764609325166888,0.791562024,-5.354343104,-1.588962288,1.4399906580306672
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
CT,F,Asian and Pacific Islander,0,0,0,0,1,83.59507437361691,8.652566982253928,0.8425374686310458,1.335378463,-13.58830233,16.970998921623845,0.40011613234840127,36.420047781028096,-12.42396358,-5.989124487,1.6494582059231935
CT,F,Asian and Pacific Islander,0,0,0,0,1,8.652566982253928,220.91862981442793,-1.715641281,165.69218402428984,21.158160390392247,-485.647967,-0.190507408,-14.03808254,-7.859433842,-15.1488136,-0.881467089
CT,F,Asian and Pacific Islander,0,0,0,0,1,0.8425374686310458,-1.715641281,0.6452469680591395,-0.201801502,-0.034258458,10.858959624547587,0.018189283317174423,1.9838619737935805,0.5128047659593351,0.4039592222621019,0.064287021
CT,F,Asian and Pacific Islander,0,0,0,0,1,1.335378463,165.69218402428984,-0.201801502,1211.8003756176204,922.0007292968139,517.0444601786367,-0.664211455,12.184481413843775,12.709015622767895,-2.330506917,-1.875050246
CT,F,Asian and Pacific Islander,0,0,0,0,1,-13.58830233,21.158160390392247,-0.034258458,922.0007292968139,889.3295733846469,132.28284674133778,-0.635755082,7.3907876164056585,13.606279211109054,5.958614322488889,-1.833893318
CT,F,Asian and Pacific Islander,0,0,0,0,1,16.970998921623845,-485.647967,10.858959624547587,517.0444601786367,132.28284674133778,12206.871958624566,3.9715653201487866,141.8125835796581,50.774126214711856,47.55196450477464,5.5329551522709925
CT,F,Asian and Pacific Islander,0,0,0,0,1,0.40011613234840127,-0.190507408,0.018189283317174423,-0.664211455,-0.635755082,3.9715653201487866,0.1604859997099984,0.47598618981084356,-0.028714676,0.043762395,0.042597698
CT,F,Asian and Pacific Islander,0,0,0,0,1,36.420047781028096,-14.03808254,1.9838619737935805,12.184481413843775,7.3907876164056585,141.8125835796581,0.47598618981084356,221.9520256,84.97780955071977,11.495611673624435,2.5967414749342432
CT,F,Asian and Pacific Islander,0,0,0,0,1,-12.42396358,-7.859433842,0.5128047659593351,12.709015622767895,13.606279211109054,50.774126214711856,-0.028714676,84.97780955071977,77.65794940553202,7.908465041053363,0.36894318663616493
CT,F,Asian and Pacific Islander,0,0,0,0,1,-5.989124487,-15.1488136,0.4039592222621019,-2.330506917,5.958614322488889,47.55196450477464,0.043762395,11.495611673624435,7.908465041053363,15.362240743739005,0.3340263707640381
CT,F,Asian and Pacific Islander,0,0,0,0,1,1.6494582059231935,-0.881467089,0.064287021,-1.875050246,-1.833893318,5.5329551522709925,0.042597698,2.5967414749342432,0.36894318663616493,0.3340263707640381,0.4226887794249923
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
CT,F,Asian and Pacific Islander,0,0,0,1,0,97.85777343749999,9.471445312500004,-4.672761719,-24.08523437,9.950820312500001,-178.3244531,-1.768499609,22.027594023437494,-30.64823348,-33.42416563,1.9371553938356179
